name,gospels_acts_unattested,rest
Cyrus,0,1
Dahabai,0,1
Daliah,0,1
Dama,0,1
Damnaius,0,1
Daniel,0,1
Darius,0,1
Deiphi,0,1
Diadochus,0,1
Dimus,0,1
Dioscorus,0,1
Doles,0,1
Dorymenes,0,1
Egla,0,1
Eli,0,1
Elnathan,0,1
Enoch,0,1
Ephaius,0,1
Ephraim,0,1
Euagoras,0,1
Euodus,0,1
Euphronius,0,1
Eutrapelus,0,1
Farruch,0,1
Furinius,0,1
Gadatas,0,1
Gadia,0,1
Galaistes,0,1
Galgula,0,1
Garaf,0,1
Gaucos,0,1
Gelustra,0,1
Geskhada,0,1
Gobares,0,1
Godea,0,1
Goliath,0,1
Gorgos,0,1
Gorthaios,0,1
Grogarot,0,1
Gufti,0,1
Gyges,0,1
Hadad,0,1
Hadrius,0,1
Hadu,0,1
Hagira,0,1
Hakhiliah,0,1
Halbo,0,1
Halifa,0,1
Hama,0,1
Hanibaal,0,1
Hanilai,0,1
Harqaq,0,1
Hashub,0,1
Hasma,0,1
Hazaretes,0,1
Hesediah,0,1
Hisdai,0,1
Hofnim,0,1
Holiqopri,0,1
Hospit,0,1
Iazidaius,0,1
Irakus,0,1
Isa,0,1
Isidorus,0,1
Ision,0,1
Israel,0,1
Istomachus,0,1
Justinus,0,1
Kablin,0,1
Kallon,0,1
Karsas,0,1
Kasakos,0,1
Lafakh,0,1
Laqish,0,1
Lemko,0,1
Leon,0,1
Lepius,0,1
Logas,0,1
Lucius,0,1
Luda,0,1
Magassarus,0,1
Mahpanah,0,1
Major,0,1
Mameus,0,1
Mannaius,0,1
Manvaz,0,1
Mara,0,1
Mari,0,1
Marinus,0,1
Matan,0,1
Mataniah,0,1
Menelaus,0,1
Menippus,0,1
Merinius,0,1
Merton,0,1
Meshulam,0,1
Meysa,0,1
Midas,0,1
Milta,0,1
Mnemon,0,1
Mona,0,1
Mordechai,0,1
Moses,0,1
Nadab,0,1
Nagara,0,1
Nages,0,1
Napah,0,1
Neela,0,1
Neriyah,0,1
Nero,0,1
Neus,0,1
Nicandrus,0,1
Nicarchus,0,1
Nicias,0,1
Nicolaus,0,1
Nicus,0,1
Nisus,0,1
Noadiah,0,1
Nomus,0,1
Numicius,0,1
Onah,0,1
Ophaius,0,1
Pandeion,0,1
Papion,0,1
Pardus,0,1
Parnakh,0,1
Patricius,0,1
Paxeus,0,1
Pelalyah,0,1
Pelatyah,0,1
Perahiah,0,1
Phaidrus,0,1
Pheroras,0,1
Phileteirus,0,1
Philon,0,1
Pishon,0,1
Pistus,0,1
Purina,0,1
Qabi,0,1
Qabish,0,1
Qadara,0,1
Qalas,0,1
Qani,0,1
Qanmuma,0,1
Qapara,0,1
Qasaba,0,1
Qathrus,0,1
Qeruya,0,1
Qorha,0,1
Qorshai,0,1
Ramish,0,1
Saida,0,1
Sakhar,0,1
Samoqah,0,1
Sarasar,0,1
Sarifa,0,1
Saru,0,1
Saugal,0,1
Sebora,0,1
Segabion,0,1
Seleucus,0,1
Seneca,0,1
Severus,0,1
Shafan,0,1
Shamla,0,1
Shamoa,0,1
Shapir,0,1
Shazfar,0,1
Shemuqa,0,1
Sifon,0,1
Silonius,0,1
Siqra,0,1
Sisenna,0,1
Sophas,0,1
Straton,0,1
Tanhum,0,1
Telesistratus,0,1
Tephous,0,1
Tertianus,0,1
Threptus,0,1
Tiberius,0,1
Tigranes,0,1
Timesius,0,1
Tiridates,0,1
Toma,0,1
Torata,0,1
Totai,0,1
Tula,0,1
Ulla,0,1
Uštana,0,1
Valerius,0,1
Vetenus,0,1
Volosius,0,1
Yehoram,0,1
Yehoyakhin,0,1
Yisachar,0,1
Yoab,0,1
Zeriqa,0,1
Zohamai,0,1
Zomlit,0,1
Bartimaeus,1,0
Hagaba,1,0
Timaius,1,0
