name,josephus,rest
Onah,0,1
Ophaius,0,1
Pandeion,0,1
Papion,0,1
Pardus,0,1
Parnakh,0,1
Patricius,0,1
Paxeus,0,1
Pelalyah,0,1
Pelatyah,0,1
Perahiah,0,1
Phaidrus,0,1
Pheroras,0,1
Phileteirus,0,1
Philon,0,1
Pishon,0,1
Purina,0,1
Qabish,0,1
Qadara,0,1
Qalas,0,1
Qani,0,1
Qanmuma,0,1
Qapara,0,1
Qasaba,0,1
Qathrus,0,1
Qeruya,0,1
Qorha,0,1
Qorshai,0,1
Ramish,0,1
Saida,0,1
Sakhar,0,1
Samoqah,0,1
Sarasar,0,1
Saru,0,1
Saugal,0,1
Sebora,0,1
Segabion,0,1
Seleucus,0,1
Seneca,0,1
Severus,0,1
Shafan,0,1
Shamla,0,1
Shamoa,0,1
Shapir,0,1
Shazfar,0,1
Shemuqa,0,1
Sifon,0,1
Silonius,0,1
Siqra,0,1
Straton,0,1
Tanhum,0,1
Telesistratus,0,1
Tephous,0,1
Tertianus,0,1
Threptus,0,1
Tiberius,0,1
Tibethis,1,1
Timaius,0,1
Timesius,0,1
Tiridates,0,1
Toma,0,1
Torata,0,1
Totai,0,1
Tula,0,1
Ulla,0,1
Uštana,0,1
Valerius,0,1
Vetenus,0,1
Volosius,0,1
Yehoram,0,1
Yehoyakhin,0,1
Yisachar,0,1
Yoab,0,1
Zeriqa,0,1
Zohamai,0,1
Zomlit,0,1
Ahab,1,0
Antiphilus,1,0
Antyllus,1,0
Ardalus,1,0
Aristeus,1,0
Athrongaios,1,0
Bagadates,2,0
Berenicianus,1,0
Capellus,2,0
Castor,1,0
Cenedaius,1,0
Cleitus,1,0
Compsus,2,0
Cornelius,1,0
Costobarus,1,0
Crispus,1,0
Damnaius,1,0
Darius,1,0
Doles,1,0
Ephaius,1,0
Gufti,1,0
Hagira,1,0
Hanibaal,1,0
Magassarus,1,0
Mannaius,1,0
Merton,1,0
Neus,1,0
Numicius,1,0
Pistus,1,0
Qabi,1,0
Sapphias,2,0
Sarifa,1,0
Sisenna,1,0
Sophas,1,0
Sosipatrus,2,0
Theophilus,2,0
Tigranes,1,0
